Micellar Casein Slow Release & Anti-Catabolic protein - Rich Chocolate (1.85 Lbs. / 26 Servings),Item # : VS-2260/1735703,$27.99,($1.07/serving),BodyTech,"Micellar casein, cocoa (processed with alkali), natural flavors, salt, xanthan gum, cellulose gum, acesulfame potassium, sucralose, Aminogen速 (proteases).",3.4 / 5.0,61 Reviews,Yes (29),No (14),,Powder,110 
Gold Standard 100% Premium Micellar Casein Protein - Creamy Vanilla (2 Lbs. / 27 Servings),Item # : OP-2037/1619758,$39.19,($1.45/serving),Optimum Nutrition,"Micellar Casein, Natural and Artificial Flavors, Inulin, Salt, Gum Blend (Cellulose Gum, Xanthan Gum, Carrageenan), Lecithin, Sucralose, Aminogen, FD&C Yellow #5.",,,,,,Powder,120 
Micellar Casein Slow Release & Anti-Catabolic protein - French Vanilla (1.85 Lbs. / 27 Servings),Item # : VS-2259/1735679,$27.99,($1.03/serving),BodyTech,"Micellar casein, natural and artificial flavor, cellulose gum, xanthan gum, carrageenan, sodium chloride, acesulfame potassium, sucralose, Aminogen速 (from Aspergillus niger and Aspergillus oryzae). Contains: Milk",3.8 / 5.0,35 Reviews,Yes (17),No (1),,Powder,100 
Elite Casein 100% Micellar Casein Protein - Rich Chocolate (2 Lbs. / 25 Servings),Item # : D4-1118/1986876,$33.59,($1.34/serving),Dymatize Nutrition,"MICELLAR CASEIN, SUNFLOWER CREAMER (SUNFLOWER OIL, MALTODEXTRIN, MICELLAR CASEIN, SOY LECITHIN, SODIUM CITRATE, TRICALCIUM PHOSPHATE), COCOA POWDER (PROCESSED WITH ALKALI), NATURAL FLAVORS, SALT, SUNFLOWER LECITHIN, POTASSIUM CHLORIDE, CELLULOSE GUM, SUCRALOSE, XANTHAN GUM, ACESULFAME POTASSIUM.",3.9 / 5.0,8 Reviews,Yes (4),No (2),,Powder,130 
Micellar Casein Slow Release protein - Cookies & Cream (1.83 oz. / 27 Servings),Item # : VS-2272/1989821,$27.99,($1.03/serving),BodyTech,"Micellar casein, cookie crumbs (enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, canola oil, cocoa (processed with alkali), salt, sodium bicarbonate), natural and artificial flavor, cocoa (processed with alkali), cellulose gum, xanthan gum, carrageenan, sodium chloride, acesulfame potassium, sucralose, Aminogen速 (from Aspergillus niger and Aspergillus oryzae).",2.6 / 5.0,8 Reviews,Yes (3),No (3),,Powder,110 
Elite Casein 100% Micellar Casein Protein - Smooth Vanilla (2 Lbs. / 25 Servings),Item # : D4-1117/1986868,$33.59,($1.24/serving),Dymatize Nutrition,"MICELLAR CASEIN, SUNFLOWER CREAMER (SUNFLOWER OIL, MALTODEXTRIN, MICELLAR CASEIN, SOY LECITHIN, SODIUM CITRATE, TRICALCIUM PHOSPHATE), NATURAL AND ARTIFICIAL FLAVORS, SUNFLOWER LECITHIN, SALT, CELLULOSE GUM, SUCRALOSE, XANTHAN GUM, ACESULFAME POTASSIUM, STEVIOL GLYCOSIDES (STEVIA).",4.4 / 5.0,5 Reviews,Yes (2),No (1),,Powder,130 
Kasein Micellar Casein Isolate - Vanilla Shake (2 lbs/ 27 servings),Item # : KGM1157/2194363,$34.99,($1.29/serving),Kaged Muscle,"Natural Flavors, Coconut Creamer (non-fat dry, coconut milk, non-GMO maltodextrin, coconut oil, gum acacia, sunflower lecithin, tricalcium phosphate), Gum Blend (gum acacia, guar gum, xanthan gum), Sea Salt, Stevia Extract, Sucralose. Contains: Milk, Tree Nuts (Coconut).",4.9 / 5.0,35 Reviews,Yes (18),No (1),,Powder,120 
Syntha-6 Protein Powder - Berry Berry Berry Cold (2.59 Lbs. / 25 Servings),Item # : IP-2080/2171809,$29.99,($1.19/serving),BSN,"Protein Matrix Comprised of (Whey Protein Concentrate, Whey Protein Isolate, Calcium Caseinate, Micellar Casein, Milk Protein Isolate, Egg Albumen, Glutamine Peptides), Polydextrose, Sunflower Creamer (Sunflower Oil, Corn Syrup Solids, Sodium Caseinate, Mono- and Diglycerides, Dipotassium Phosphate, Tricalcium Phosphate, Soy Lecithin, Tocopherols), Natural and Artificial Flavor, MCT Powder (Medium Chain Triglycerides, Nonfat Dry Milk, Disodium Phosphate, Silicon Dioxide), Lecithin, Cellulose Gum, Freeze Dried Blueberry Granules, Freeze Dried Strawberry Granules, Salt, Citric Acid, Sucralose, Acesulfame Potassium, Papain, Bromelain. CONTAINS: Egg, Milk, Soy, and Wheat.",4.0 / 5.0,2 Reviews,Yes (1),No (1),,Powder,200 
Kasein Micellar Casein Isolate - Chocolate Shake (2 Lbs. / 25 servings),Item # : KGM1158/2194504,$34.99,($1.39/serving),Kaged Muscle,"Natural Flavors, Cocoa Powder processed with Alkali, Coconut Creamer (non-fat dry coconut milk, non-GMO maltodextrin, coconut oil, gum acacia, sunflower lecithin, tricalcium phosphate), Gum Blend (gum acacia, guar gum, xanthan gum), Stevia Extract, Sucralose, Sea Salt. Contains: Milk, Tree Nuts (Coconut).",2.3 / 5.0,3 Reviews,Yes (1),No (1),,Powder,130 
Native Fuel Micellar Casein - Chocolate Peanut Butter (2 Lbs. / 24 Servings),Item # : ACP0012/2205664,$39.99,($1.66/serving),Ascent Protein,"Micellar Casein, Peanuts, Cocoa (processed with Alkali), Natural Flavors, Gum Blend (Guar, Acacia, Xanthan), Sea Salt, Sunflower Lecithin, Monk Fruit Extract, Stevia Leaf Extract. Contains: Milk and Peanuts.",,,,,,Powder,140 
Gold Standard 100% Premium Micellar Casein Protein - Chocolate Supreme (2 Lbs. / 26 Servings),Item # : OP-2036/1619733,$39.19,($1.5/serving),Optimum Nutrition,"Micellar Casein, Cocoa (Processed with Alkali), Natural and Artificial Flavors, Salt, Gum Blend (Cellulose Gum, Xanthan Gum, Carrageenan), Lecithin, Acesulfame Potassium, Sucralose, Aminogen.",4.5 / 5.0,92 Reviews,Yes (40),No (2),,Powder,120 
Gold Standard 100% Premium Micellar Casein Protein - Chocolate Peanut Butter (2 Lbs. / 26 Servings),Item # : OP-1067/1754936,$39.19,($1.5/serving),Optimum Nutrition,"Micellar Casein, Cocoa (Processed with Alkali), Natural and Artificial Flavors, Salt, Gum Blend (Cellulose Gum, Xanthan Gum, Carrageenan), Lecithin, Acesulfame Potassium, Sucralose, Aminogen.",,,,,,Powder,120 
Micellar Casein Slow Release & Anti-Catabolic protein - Rich Chocolate (3.7 Lbs. / 52 Servings),Item # : VS-2267/1989714,$44.99,($0.86/serving),BodyTech,"Micellar casein, cocoa (alkali processed), natural flavors, salt, xanthan gum, cellulose gum, acesulfame potassium, sucralose, Aminogen速 (proteases).",3.7 / 5.0,7 Reviews,Yes (3),No (3),,Powder,120 
